time,total_cases,daily_cases,total_currently_infected,total_death,death_per_day
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,1,0,1,0,0
2020-02-29,1,0,1,0,0
2020-03-01,1,0,1,0,0
2020-03-02,1,0,1,0,0
2020-03-03,4,3,4,0,0
2020-03-04,6,2,6,0,0
2020-03-05,6,0,6,0,0
2020-03-06,6,0,6,0,0
2020-03-07,6,0,6,0,0
2020-03-08,6,0,6,0,0
2020-03-09,6,0,6,0,0
2020-03-10,9,3,6,0,0
2020-03-11,9,0,6,0,0
2020-03-12,21,12,18,0,0
2020-03-13,27,6,24,0,0
2020-03-14,27,0,24,0,0
2020-03-15,27,0,24,0,0
2020-03-16,36,9,33,0,0
2020-03-17,36,0,33,0,0
2020-03-18,51,15,46,0,0
2020-03-19,51,0,46,0,0
2020-03-20,69,18,54,0,0
2020-03-21,76,7,61,0,0
2020-03-22,76,0,61,0,0
2020-03-23,81,5,59,0,0
2020-03-24,81,0,59,0,0
2020-03-25,86,5,57,0,0
2020-03-26,86,0,57,0,0
2020-03-27,94,8,62,0,0
2020-03-28,94,0,62,0,0
2020-03-29,94,0,62,0,0
2020-03-30,152,58,120,0,0
2020-03-31,152,0,104,1,1
2020-04-01,163,11,108,2,1
2020-04-02,304,141,247,4,2
2020-04-03,351,47,294,4,0
2020-04-04,440,89,382,5,1
2020-04-05,562,122,502,8,3
2020-04-06,700,138,634,13,5
2020-04-07,861,161,794,13,0
2020-04-08,1066,205,976,13,0
2020-04-09,1486,420,1331,16,3
2020-04-10,1981,495,1793,19,3
2020-04-11,2226,245,2031,23,4
2020-04-12,2578,352,2349,26,3
2020-04-13,2919,341,2687,29,3
2020-04-14,3281,362,3045,33,4
2020-04-15,3728,447,3489,36,3
2020-04-16,4204,476,3961,40,4
2020-04-17,4779,575,4395,42,2
2020-04-18,4779,0,4392,45,3
2020-04-19,4779,0,4238,47,2
2020-04-20,6264,1485,5699,51,4
2020-04-21,6723,459,6091,55,4
2020-04-22,7281,558,6454,58,3
2020-04-23,8022,741,7024,60,2
2020-04-24,8773,751,7590,63,3
2020-04-25,9590,817,7950,67,4
2020-04-26,10463,873,8696,72,5
2020-04-27,11289,826,9474,75,3
2020-04-28,12208,919,10136,79,4
2020-04-29,13181,973,11025,84,5
2020-04-30,14027,846,11552,89,5
2020-05-01,14917,890,11906,93,4
2020-05-02,15828,911,12614,97,4
2020-05-03,16705,877,13410,99,2
2020-05-04,17489,784,14127,103,4
2020-05-05,18350,861,14472,107,4
2020-05-06,19255,905,14755,112,5
2020-05-07,20168,913,14985,116,4
2020-05-08,21101,933,15496,121,5
2020-05-09,22052,951,15876,126,5
2020-05-10,22973,921,16436,131,5
2020-05-11,23906,933,17240,135,4
2020-05-12,24873,967,17757,142,7
2020-05-13,25825,952,17968,146,4
